"","loCDacc","hiCDacc"
"1",0.294117647058824,0.682692307692308
"2",0.323529411764706,0.413461538461538
"3",0.264705882352941,0.480769230769231
"4",0.235294117647059,0.442307692307692
"5",0.294117647058824,0.442307692307692
"6",0.176470588235294,0.346153846153846
"7",0.323529411764706,0.721153846153846
"8",0.647058823529412,0.509615384615385
"9",0.352941176470588,0.730769230769231
"10",0.352941176470588,0.442307692307692
"11",0.647058823529412,0.644230769230769
"12",0.352941176470588,0.625
"13",0.764705882352941,0.663461538461538
"14",0.764705882352941,0.509615384615385
"15",0.882352941176471,0.663461538461538
"16",0.705882352941177,0.480769230769231
"17",0.676470588235294,0.576923076923077
"18",0.676470588235294,0.615384615384615
